[n9] 分组 ['main', 'aug']；21 臂 × 9 对 + 基线 = 396 个条目；dry_run=False

组     臂                配对      唯一开关                           复用判定
aug   feat_base_sem    0:0     --feat-groups base+sem         ♻ 复用
aug   feat_base_sem    0:1     --feat-groups base+sem         ▶ 新跑
aug   feat_base_sem    0:2     --feat-groups base+sem         ▶ 新跑
aug   feat_base_sem    1:0     --feat-groups base+sem         ▶ 新跑
aug   feat_base_sem    1:1     --feat-groups base+sem         ♻ 复用
aug   feat_base_sem    1:2     --feat-groups base+sem         ▶ 新跑
aug   feat_base_sem    2:0     --feat-groups base+sem         ▶ 新跑
aug   feat_base_sem    2:1     --feat-groups base+sem         ▶ 新跑
aug   feat_base_sem    2:2     --feat-groups base+sem         ♻ 复用
aug   hid256           0:0     --hid 256                      ♻ 复用
aug   hid256           0:1     --hid 256                      ▶ 新跑
aug   hid256           0:2     --hid 256                      ▶ 新跑
aug   hid256           1:0     --hid 256                      ▶ 新跑
aug   hid256           1:1     --hid 256                      ♻ 复用
aug   hid256           1:2     --hid 256                      ▶ 新跑
aug   hid256           2:0     --hid 256                      ▶ 新跑
aug   hid256           2:1     --hid 256                      ▶ 新跑
aug   hid256           2:2     --hid 256                      ♻ 复用
aug   numbases1        0:0     --num-bases 1                  ♻ 复用
aug   numbases1        0:1     --num-bases 1                  ▶ 新跑
aug   numbases1        0:2     --num-bases 1                  ▶ 新跑
aug   numbases1        1:0     --num-bases 1                  ▶ 新跑
aug   numbases1        1:1     --num-bases 1                  ♻ 复用
aug   numbases1        1:2     --num-bases 1                  ▶ 新跑
aug   numbases1        2:0     --num-bases 1                  ▶ 新跑
aug   numbases1        2:1     --num-bases 1                  ▶ 新跑
aug   numbases1        2:2     --num-bases 1                  ♻ 复用
aug   numbases3        0:0     --num-bases 3                  ♻ 复用
aug   numbases3        0:1     --num-bases 3                  ▶ 新跑
aug   numbases3        0:2     --num-bases 3                  ▶ 新跑
aug   numbases3        1:0     --num-bases 3                  ▶ 新跑
aug   numbases3        1:1     --num-bases 3                  ♻ 复用
aug   numbases3        1:2     --num-bases 3                  ▶ 新跑
aug   numbases3        2:0     --num-bases 3                  ▶ 新跑
aug   numbases3        2:1     --num-bases 3                  ▶ 新跑
aug   numbases3        2:2     --num-bases 3                  ♻ 复用
aug   numbases4        0:0     --num-bases 4                  ♻ 复用
aug   numbases4        0:1     --num-bases 4                  ▶ 新跑
aug   numbases4        0:2     --num-bases 4                  ▶ 新跑
aug   numbases4        1:0     --num-bases 4                  ▶ 新跑
aug   numbases4        1:1     --num-bases 4                  ♻ 复用
aug   numbases4        1:2     --num-bases 4                  ▶ 新跑
aug   numbases4        2:0     --num-bases 4                  ▶ 新跑
aug   numbases4        2:1     --num-bases 4                  ▶ 新跑
